subject,fuzzer,fuzzer_label,elapsed_min,value,runs
live555,chatafl,ChatAFL,840,149.1,10
live555,chatafl,ChatAFL,900,149.4,10
live555,chatafl,ChatAFL,960,149.8,10
live555,chatafl,ChatAFL,1020,149.8,10
live555,chatafl,ChatAFL,1080,150.0,10
live555,chatafl,ChatAFL,1140,150.5,10
live555,chatafl,ChatAFL,1200,150.7,10
live555,chatafl,ChatAFL,1260,150.9,10
live555,chatafl,ChatAFL,1320,150.9,10
live555,chatafl,ChatAFL,1380,151.0,10
live555,chatafl,ChatAFL,1440,151.2,10
live555,chatafl_opt,LoopFuzz,0,85.8,10
live555,chatafl_opt,LoopFuzz,60,142.8,10
live555,chatafl_opt,LoopFuzz,120,148.0,10
live555,chatafl_opt,LoopFuzz,180,150.2,10
live555,chatafl_opt,LoopFuzz,240,151.6,10
live555,chatafl_opt,LoopFuzz,300,153.1,10
live555,chatafl_opt,LoopFuzz,360,154.1,10
live555,chatafl_opt,LoopFuzz,420,155.2,10
live555,chatafl_opt,LoopFuzz,480,155.4,10
live555,chatafl_opt,LoopFuzz,540,156.0,10
live555,chatafl_opt,LoopFuzz,600,156.2,10
live555,chatafl_opt,LoopFuzz,660,156.6,10
live555,chatafl_opt,LoopFuzz,720,156.9,10
live555,chatafl_opt,LoopFuzz,780,157.0,10
live555,chatafl_opt,LoopFuzz,840,157.1,10
live555,chatafl_opt,LoopFuzz,900,157.4,10
live555,chatafl_opt,LoopFuzz,960,157.4,10
live555,chatafl_opt,LoopFuzz,1020,157.6,10
live555,chatafl_opt,LoopFuzz,1080,157.9,10
live555,chatafl_opt,LoopFuzz,1140,158.0,10
live555,chatafl_opt,LoopFuzz,1200,158.4,10
live555,chatafl_opt,LoopFuzz,1260,158.4,10
live555,chatafl_opt,LoopFuzz,1320,158.5,10
live555,chatafl_opt,LoopFuzz,1380,158.5,10
live555,chatafl_opt,LoopFuzz,1440,158.7,10
kamailio,aflnet,AFLNet,0,4.0,10
kamailio,aflnet,AFLNet,60,43.5,10
kamailio,aflnet,AFLNet,120,56.5,10
kamailio,aflnet,AFLNet,180,63.6,10
kamailio,aflnet,AFLNet,240,71.3,10
kamailio,aflnet,AFLNet,300,75.3,10
kamailio,aflnet,AFLNet,360,79.3,10
kamailio,aflnet,AFLNet,420,82.1,10
kamailio,aflnet,AFLNet,480,85.0,10
kamailio,aflnet,AFLNet,540,87.8,10
kamailio,aflnet,AFLNet,600,89.4,10
kamailio,aflnet,AFLNet,660,90.5,10
kamailio,aflnet,AFLNet,720,92.0,10
kamailio,aflnet,AFLNet,780,92.7,10
kamailio,aflnet,AFLNet,840,94.1,10
kamailio,aflnet,AFLNet,900,94.4,10
kamailio,aflnet,AFLNet,960,95.9,10
kamailio,aflnet,AFLNet,1020,96.5,10
kamailio,aflnet,AFLNet,1080,97.1,10
kamailio,aflnet,AFLNet,1140,98.0,10
kamailio,aflnet,AFLNet,1200,98.7,10
kamailio,aflnet,AFLNet,1260,99.2,10
kamailio,aflnet,AFLNet,1320,99.8,10
kamailio,aflnet,AFLNet,1380,100.1,10
kamailio,aflnet,AFLNet,1440,100.9,10
kamailio,chatafl,ChatAFL,0,13.3,10
kamailio,chatafl,ChatAFL,60,58.7,10
kamailio,chatafl,ChatAFL,120,75.3,10
kamailio,chatafl,ChatAFL,180,84.6,10
kamailio,chatafl,ChatAFL,240,92.0,10
kamailio,chatafl,ChatAFL,300,96.0,10
kamailio,chatafl,ChatAFL,360,97.8,10
kamailio,chatafl,ChatAFL,420,100.7,10
kamailio,chatafl,ChatAFL,480,102.4,10
kamailio,chatafl,ChatAFL,540,104.8,10
kamailio,chatafl,ChatAFL,600,105.8,10
kamailio,chatafl,ChatAFL,660,106.5,10
kamailio,chatafl,ChatAFL,720,108.0,10
kamailio,chatafl,ChatAFL,780,108.6,10
