subject,fuzzer,fuzzer_label,elapsed_min,value,runs
exim,chatafl_opt,LoopFuzz,780,3814.2,10
exim,chatafl_opt,LoopFuzz,840,3814.2,10
exim,chatafl_opt,LoopFuzz,900,3829.1,10
exim,chatafl_opt,LoopFuzz,960,3843.3,10
exim,chatafl_opt,LoopFuzz,1020,3847.5,10
exim,chatafl_opt,LoopFuzz,1080,3856.0,10
exim,chatafl_opt,LoopFuzz,1140,3859.0,10
exim,chatafl_opt,LoopFuzz,1200,3859.0,10
exim,chatafl_opt,LoopFuzz,1260,3873.6,10
exim,chatafl_opt,LoopFuzz,1320,3878.8,10
exim,chatafl_opt,LoopFuzz,1380,3885.4,10
exim,chatafl_opt,LoopFuzz,1440,3888.1,10
live555,aflnet,AFLNet,0,1438.9,10
live555,aflnet,AFLNet,60,2764.5,10
live555,aflnet,AFLNet,120,2791.7,10
live555,aflnet,AFLNet,180,2805.3,10
live555,aflnet,AFLNet,240,2816.3,10
live555,aflnet,AFLNet,300,2827.8,10
live555,aflnet,AFLNet,360,2833.3,10
live555,aflnet,AFLNet,420,2840.7,10
live555,aflnet,AFLNet,480,2845.9,10
live555,aflnet,AFLNet,540,2848.2,10
live555,aflnet,AFLNet,600,2854.2,10
live555,aflnet,AFLNet,660,2859.0,10
live555,aflnet,AFLNet,720,2863.9,10
live555,aflnet,AFLNet,780,2864.0,10
live555,aflnet,AFLNet,840,2865.8,10
live555,aflnet,AFLNet,900,2867.6,10
live555,aflnet,AFLNet,960,2868.3,10
live555,aflnet,AFLNet,1020,2872.0,10
live555,aflnet,AFLNet,1080,2876.6,10
live555,aflnet,AFLNet,1140,2877.0,10
live555,aflnet,AFLNet,1200,2880.5,10
live555,aflnet,AFLNet,1260,2881.4,10
live555,aflnet,AFLNet,1320,2882.2,10
live555,aflnet,AFLNet,1380,2887.7,10
live555,aflnet,AFLNet,1440,2887.7,10
live555,chatafl,ChatAFL,0,1327.8,10
live555,chatafl,ChatAFL,60,2814.8,10
live555,chatafl,ChatAFL,120,2846.2,10
live555,chatafl,ChatAFL,180,2857.6,10
live555,chatafl,ChatAFL,240,2865.8,10
live555,chatafl,ChatAFL,300,2875.7,10
live555,chatafl,ChatAFL,360,2878.7,10
live555,chatafl,ChatAFL,420,2882.0,10
live555,chatafl,ChatAFL,480,2884.5,10
live555,chatafl,ChatAFL,540,2885.4,10
live555,chatafl,ChatAFL,600,2887.3,10
live555,chatafl,ChatAFL,660,2892.5,10
live555,chatafl,ChatAFL,720,2893.5,10
live555,chatafl,ChatAFL,780,2896.9,10
live555,chatafl,ChatAFL,840,2897.7,10
live555,chatafl,ChatAFL,900,2897.7,10
live555,chatafl,ChatAFL,960,2898.9,10
live555,chatafl,ChatAFL,1020,2899.4,10
live555,chatafl,ChatAFL,1080,2900.8,10
live555,chatafl,ChatAFL,1140,2900.8,10
live555,chatafl,ChatAFL,1200,2902.0,10
live555,chatafl,ChatAFL,1260,2902.0,10
live555,chatafl,ChatAFL,1320,2904.1,10
live555,chatafl,ChatAFL,1380,2904.1,10
live555,chatafl,ChatAFL,1440,2905.0,10
live555,chatafl_opt,LoopFuzz,0,1507.7,10
live555,chatafl_opt,LoopFuzz,60,2992.9,10
live555,chatafl_opt,LoopFuzz,120,3025.1,10
live555,chatafl_opt,LoopFuzz,180,3038.9,10
live555,chatafl_opt,LoopFuzz,240,3047.0,10
live555,chatafl_opt,LoopFuzz,300,3053.8,10
live555,chatafl_opt,LoopFuzz,360,3056.2,10
live555,chatafl_opt,LoopFuzz,420,3058.8,10
live555,chatafl_opt,LoopFuzz,480,3063.6,10
live555,chatafl_opt,LoopFuzz,540,3066.2,10
live555,chatafl_opt,LoopFuzz,600,3069.3,10
live555,chatafl_opt,LoopFuzz,660,3072.3,10
live555,chatafl_opt,LoopFuzz,720,3073.2,10
live555,chatafl_opt,LoopFuzz,780,3074.0,10
live555,chatafl_opt,LoopFuzz,840,3074.5,10
live555,chatafl_opt,LoopFuzz,900,3074.6,10
live555,chatafl_opt,LoopFuzz,960,3074.8,10
live555,chatafl_opt,LoopFuzz,1020,3075.0,10
live555,chatafl_opt,LoopFuzz,1080,3076.3,10
live555,chatafl_opt,LoopFuzz,1140,3078.7,10
live555,chatafl_opt,LoopFuzz,1200,3081.4,10
live555,chatafl_opt,LoopFuzz,1260,3081.4,10
live555,chatafl_opt,LoopFuzz,1320,3081.4,10
live555,chatafl_opt,LoopFuzz,1380,3081.8,10
live555,chatafl_opt,LoopFuzz,1440,3082.2,10
kamailio,aflnet,AFLNet,0,5230.5,10
kamailio,aflnet,AFLNet,60,8593.6,10
kamailio,aflnet,AFLNet,120,9027.8,10
kamailio,aflnet,AFLNet,180,9270.9,10
kamailio,aflnet,AFLNet,240,9434.0,10
kamailio,aflnet,AFLNet,300,9547.5,10
kamailio,aflnet,AFLNet,360,9631.1,10
kamailio,aflnet,AFLNet,420,9728.3,10
kamailio,aflnet,AFLNet,480,9783.3,10
kamailio,aflnet,AFLNet,540,9852.7,10
kamailio,aflnet,AFLNet,600,9887.4,10
kamailio,aflnet,AFLNet,660,9915.7,10
kamailio,aflnet,AFLNet,720,9983.8,10
